,id,date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood (target)
25,AS14.01,20-03-14,0,0,0,1,0,0,0,,,,0.081547619,252.8826667,1,,5.928071429,58.60078378,58.476,,,,5.6725,73.43009091,,45.173,10.537,,
26,AS14.01,21-03-14,0,0,0,0,1,0,0,6.2,0.2,0.2,0.134050104,153.6658718,1,,14.26917273,55.09552632,53.024,6.193,,57.402,29.968875,75.14166667,70.41884615,,23.029,,
27,AS14.01,22-03-14,0,0,0,0,0,1,0,6.4,0.6,0.5,0.236880219,47.61365116,1,1,7.781159574,51.6970625,46.662,7.025333333,,,14.02042857,36.636,37.305,,39.207,,
28,AS14.01,23-03-14,0,0,0,0,0,0,1,6.8,0.2,0.8,0.142741116,67.06764358,,,12.13439623,53.44203061,31.44866667,10.85075,,,12.13716667,50.04661111,,,30.086,30.386,
29,AS14.01,24-03-14,1,0,0,0,0,0,0,6,0.8,0,0.078961056,76.77219898,1,,4.982505747,47.54168718,122.121375,5.684333333,,3.01,11.093,74.96804651,83.961,,89.366,,
30,AS14.01,25-03-14,0,1,0,0,0,0,0,6.75,0.5,0.5,0.098374112,169.0972835,,1,10.02687379,69.43750676,34.103,10.7635,,,29.80316667,68.55253571,,29.402875,22.2893,,
31,AS14.01,26-03-14,0,0,1,0,0,0,0,6.6,-0.2,0.6,0.101308322,94.38966092,,,8.460123188,47.06153403,130.0684286,8.721833333,,,16.24966667,124.1097027,,,33.365,,
32,AS14.01,27-03-14,0,0,0,1,0,0,0,7,0.2,0.8,0.159510641,129.2011111,1,1,7.982642857,43.3532,71.03766667,14.073,,15.20425,9.755333333,71.95238462,23.657,,16.27536364,,
33,AS14.01,28-03-14,0,0,0,0,1,0,0,6.4,-0.6,0.6,0.095698022,55.94873863,1,,81.14995968,24.07869444,91.40027273,12.738,116.518,,37.6585,25.63705,59.63205263,,30.1717,,
34,AS14.01,29-03-14,0,0,0,0,0,1,0,8,0.2,1,0.06820281,130.0409687,1,1,23.52566265,47.7314386,108.4952667,,,,24.22771429,59.111,17.47833333,,25.02654167,,
35,AS14.01,30-03-14,0,0,0,0,0,0,1,7.5,-0.5,0.75,0.049092971,167.5264445,,,7.818207547,61.83357143,170.6307778,,,,12.33383333,55.895,,33.2385,38.296,,
36,AS14.01,31-03-14,1,0,0,0,0,0,0,7.4,0,0.6,0.070505481,95.45833871,1,,17.01956897,41.33827132,51.73294118,6.875833333,51.176,,24.414,56.27729167,36.6762,29.29,12.37088235,,
37,AS14.01,01-04-14,0,1,0,0,0,0,0,6,0.2,0,0.118443243,90.38897896,1,,5.749033195,33.1278587,42.94320833,15.21738889,78.247,30.796,15.14875,45.81879091,115.3300714,,19.1717037,,
38,AS14.01,02-04-14,0,0,1,0,0,0,0,6.5,0.333333333,0.666666667,0.101916611,94.50668584,1,,16.42885909,33.75685854,46.32331034,13.04089474,,90.481,23.54526087,64.69418868,,,21.3356875,,
39,AS14.01,03-04-14,0,0,0,1,0,0,0,6.4,-1.2,0,0.049238473,79.85759329,1,,9.175747036,46.42470096,49.75503846,25.41133333,,,14.26013333,44.42592958,19.082,,14.05938462,,
40,AS14.01,04-04-14,0,0,0,0,1,0,0,6.2,0.2,0.4,0.126689311,80.38578571,1,1,10.19702604,44.5660813,96.5766875,,,,22.100125,71.93782759,22.60585714,,9.899384615,,
41,AS14.01,05-04-14,0,0,0,0,0,1,0,6.8,-0.4,0.6,0.119002302,53.02271429,,,163.002043,37.70818,76.369,,,,11.59042857,45.401,31.32416667,,13.21733333,,
42,AS14.01,06-04-14,0,0,0,0,0,0,1,6.5,-0.75,0.5,0.064407799,82.05848351,1,,33.94523881,47.93918571,93.607,,57.203,,19.85333333,64.292,,,9.2498,,
43,AS14.01,07-04-14,1,0,0,0,0,0,0,6.5,-0.666666667,0.25,0.050670621,80.70804098,1,,7.07921374,57.01562016,74.52016667,9.2256,,17.107,21.2935,61.47575,60.247,,51.45275,,
44,AS14.01,08-04-14,0,1,0,0,0,0,0,6.6,-0.4,0.333333333,0.075327058,71.23175473,1,,5.685917197,49.10649223,165.0704286,6.377,,,29.93057143,59.00268889,,,18.0715,,
45,AS14.01,09-04-14,0,0,1,0,0,0,0,7.4,-0.8,1,0.120384115,67.45417413,1,,9.582555556,38.13009877,78.3975,,,,43.33175,44.16171875,,,115.4718,,
46,AS14.01,10-04-14,0,0,0,1,0,0,0,7.4,-0.4,0.8,0.078963105,101.0445543,1,,6.685560748,65.08548,154.90775,,1.059,23.195,13.489875,39.15723333,,,25.17913333,,
47,AS14.01,11-04-14,0,0,0,0,1,0,0,7,-1.2,0.8,0.079986202,85.58411382,,,24.06450714,27.5751405,123.508625,15.68216667,,,8.575333333,45.90823077,34.234,,23.84977778,,
48,AS14.01,12-04-14,0,0,0,0,0,1,0,7.25,-0.75,0.75,0.072249061,250.0172128,,,5.600851852,143.3713696,182.2068333,,,,11.29042857,44.072,5.031,,14.09568,,
49,AS14.01,13-04-14,0,0,0,0,0,0,1,8,-1.25,1,0.014021329,57.30717141,,,6.301619718,47.68673913,62.348,9.157,,,8.564454545,17.251,,,,,
50,AS14.01,14-04-14,1,0,0,0,0,0,0,7.2,-1.2,0.6,0.083887314,138.3496,1,1,5.463528409,51.47844444,216.0536552,14.88716667,,,12.09133333,162.3325,14.552,,34.00048276,,
51,AS14.01,15-04-14,0,1,0,0,0,0,0,6.4,0,0.8,0.090112153,101.3822612,1,1,6.735679325,40.68124837,49.71168421,4.347666667,,,18.4025,100.6411364,8.363,,19.98521429,,
