,id,t,monday,tuesday,wednesday,thursday,friday,saturday,sunday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood (target)
1,AS14.01,5,1,0,0,1,1,1,1,6.35,0.45,0.375,0.134836023,119.6004064,1,1,9.019061142,53.27541808,62.34640833,7.438354167,,30.206,14.57839405,62.04448304,63.89494872,45.173,38.445,30.386,6.75
2,AS14.01,5,0,1,1,1,1,1,0,6.95,0.02,0.7,0.104618781,115.7355526,1,1,26.22905243,46.33247477,87.02092694,11.57408333,116.518,15.20425,23.53887619,69.87253461,33.58912865,29.402875,25.42558106,,7.5
3,AS14.01,5,1,1,1,1,0,0,1,6.76,-0.233333333,0.403333333,0.077839356,105.5476083,1,,11.23828317,43.29625219,72.27705522,15.13636257,64.7115,60.6385,17.94039551,53.42224017,57.0294238,31.26425,21.04673163,,6.2
4,AS14.01,5,1,1,0,0,1,1,1,6.52,-0.403333333,0.416666667,0.087219418,73.48135584,1,1,43.98188776,47.26711188,101.2286566,7.8013,57.203,17.107,20.95359167,60.4218533,38.05900794,,20.37815359,,7.4
5,AS14.01,5,0,0,1,1,1,1,1,7.41,-0.88,0.87,0.073120762,112.2814453,1,,10.447019,64.3697656,120.2737417,12.41958334,1.059,23.195,17.05036829,38.11003657,19.6325,,44.64909778,,7.2
6,AS14.01,5,1,1,1,1,1,0,0,6.84,-0.33,0.66,0.088212133,124.5358782,1,1,7.373576859,60.60249615,80.79206344,12.08603968,,,10.97415333,119.71289,14.73544444,,23.01741274,,7.8
7,AS14.01,5,1,1,1,0,0,1,1,7.53,-0.06,0.95,0.082840891,100.4749347,1,1,13.45020764,47.4330134,47.09634047,8.951133335,29.084,,8.467920001,60.44112056,43.60216667,,21.95431662,,7.6
8,AS14.01,5,1,0,0,1,1,1,1,7.5,-0.32,0.92,0.084873414,151.1374839,1,1,10.38497561,56.30256209,105.4704321,26.88064861,,,29.29289667,235.7719984,20.56843889,3.148,17.1892709,,7
9,AS14.01,5,0,1,1,1,1,1,0,7.68,-0.29,0.95,0.087991376,93.61457838,1,1,14.17679416,51.22700352,68.39582136,40.85216459,166.6525,28.098,10.664935,65.13332059,60.55729167,30.102,19.79498228,,8
10,AS14.01,2,1,0,0,0,0,0,1,8,-0.5,1,0.072017202,114.8067975,,,15.89655805,45.21005895,236.6241667,,,,7.105,62.0197,,,66.08275,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AS14.02,5,1,1,0,0,1,1,1,7.094444444,0.366666667,0.433333333,0.1937764,38.85712322,1,1,14.90365911,32.72854945,134.2980933,,,,19.24337065,9.47196904,15.7125,,,,6.8
12,AS14.02,5,0,0,1,1,1,1,1,6.86,-0.57,0.28,0.312005097,45.31145015,1,1,10.51380199,33.56153015,48.8043866,,,,12.83994167,14.04347617,21.53637037,,,,6.4
13,AS14.02,5,1,1,1,1,1,0,0,7.08,-0.57,0.41,0.234207823,29.63395025,1,1,14.22558886,34.95671499,49.11279554,,,,21.67625,29.59757873,,,4.477533333,,7.25
